up,down,TODAYDATE,LAST,TIM,CON,TIM,Boolinger%,MACD1HR-DIF,STOCH1HR-DIF,OICP,OIPP,CP,PP,HIST,MACDDIF,STOCH,MACD,1-STOCH,ocpt,oppt,1=MACD,NCRAT,NORAT,CPT,PPT,NCDIF-v,NODIF-v,LAST,DAY%,20ma,50ma
-2,43,4-Oct-24,20139.75,1200,-0.11,1200,8.09,-0.05,-1.58,-30557,13294,-609,328,-0.06,-0.03,-86.93,-0.09,-33.93,1975324,872639,-0.16,2,2.3,42792,21903,-0.06,-0.07,19.08,-1.62,-0.52,-0.45
15,27,4-Oct-24,20124.5,1157,-0.05,1157,10.81,-0.04,-3.7,-21346,7107,-521,209,-0.04,-0.03,-79.54,-0.06,-32.35,2005881,859345,-0.15,2,2.3,43401,21575,-0.05,-0.05,19.15,-1.25,-0.47,-0.41
38,5,4-Oct-24,20102,1154,0,1154,20.69,-0.04,-8.86,-52180,23410,-1179,1091,-0.02,-0.03,-72.7,-0.03,-28.65,2027227,852238,-0.15,2.1,2.4,43922,21366,-0.16,-0.13,19.28,-0.57,-0.36,-0.31
79,-37,4-Oct-24,20060.75,1151,0.06,1151,51.33,-0.02,-0.64,-31194,4572,-632,70,0,-0.01,-57.07,0,-19.79,2079407,828828,-0.13,2.2,2.5,45101,20275,-0.04,-0.05,19.56,0.87,-0.08,-0.05
75,4,4-Oct-24,20064.5,1148,0.11,1148,54.05,-0.01,0.32,-1243,-2896,54,5,0.01,0,-50.44,0.01,-19.15,2110601,824256,-0.13,2.3,2.6,45733,20205,0,0.01,19.58,0.97,-0.03,-0.05
65,14,4-Oct-24,20074.75,1145,0.14,1145,51.93,0.01,-2.22,-7010,4406,6054,4525,0.02,-0.01,-35.17,0.01,-19.47,2111844,827152,-0.13,2.3,2.6,45679,20200,-0.27,-0.03,19.57,0.92,-0.02,-0.08
61,18,4-Oct-24,20078.5,1142,0.16,1142,59.33,0.02,-3.17,-64068,24603,-1075,1126,0.04,-0.01,-5.77,0.02,-17.25,2118854,822746,-0.12,2.5,2.6,39625,15675,-0.27,-0.16,19.64,1.27,0.07,-0.04
84,-5,4-Oct-24,20056,1139,0.18,1139,69.33,0.03,-0.63,-4415,-2689,-53,-19,0.05,0.01,30.55,0.03,-14.08,2182922,798143,-0.12,2.8,2.7,40700,14549,0,0.01,19.74,1.77,0.19,0.04
80,4,4-Oct-24,20060,1136,0.16,1136,69.89,0.03,-3.8,-66404,19107,-1088,339,0.06,0,55.26,0.02,-13.45,2187337,800832,-0.12,2.8,2.7,40753,14568,-0.14,-0.15,19.76,1.87,0.23,0.05
92,-8,4-Oct-24,20047.75,1133,0.15,1133,82.21,0.04,1.58,17453,-435,918,-48,0.07,0.03,69.67,0.02,-9.65,2253741,781725,-0.11,2.9,2.9,41841,14229,0.07,0.02,19.88,2.46,0.37,0.16
